Year,Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2008,2008-01,Nasdaq (DQ),17101559768,4445775770,11677168693,33224504231,0,0,0,0,21681719,2681863,13228145,37591727
2008,2008-01,Nasdaq (Q),21815134864,9742998000,28641041890,60199174754,0,0,0,0,117857618,25815423,111919841,255592882
2008,2008-01,PHLX (X),107071900,18988100,42639091,168699091,0,0,0,0,40417,3717,49152,93286
2008,2008-02,ADF (D),192190525,50031700,156735600,398957825,0,0,0,0,718900,105862,522020,1346782
2008,2008-02,AMEX (A),0,756135108,3572300,759707408,0,0,0,0,0,1195761,8949,1204710
2008,2008-02,CBOE (W),91458100,69688800,57768200,218915100,0,0,0,0,144140,44406,29899,218445
2008,2008-02,CHX (M),417539550,85549946,157752275,660841771,0,0,0,0,543430,35412,229388,808230
2008,2008-02,ISE (I),1391204020,20024605,109848200,1521076825,0,0,0,0,9110580,30845,272118,9413543
2008,2008-02,NSX (C),1061143626,512690682,1135234542,2709068850,0,0,0,0,4875278,1247980,5148766,11272024
2008,2008-02,NSX (DC),1409734462,355161790,1887957119,3652853371,0,0,0,0,5441352,830795,5939152,12211299
2008,2008-02,NYSE (DN),3866182600,1553068000,4380509411,9799760011,0,0,0,0,25543807,5868210,21946470,53358487
2008,2008-02,NYSE (N),30242981376,0,0,30242981376,0,0,0,0,100880323,0,0,100880323
2008,2008-02,NYSE Arca (P),10287313575,5956311900,7485017737,23728643212,0,0,0,0,61885018,15709319,33206949,110801286
2008,2008-02,Nasdaq (DQ),12964557320,3214018815,10008910021,26187486156,0,0,0,0,17973790,2289495,11595221,31858506
2008,2008-02,Nasdaq (Q),15840898562,7120972337,22435747967,45397618866,0,0,0,0,87263268,19451343,87454416,194169027
2008,2008-02,PHLX (X),84100900,11798800,29427543,125327243,0,0,0,0,24942,2917,26721,54580
2008,2008-03,ADF (D),389098868,55998500,198323300,643420668,0,0,0,0,1299395,137458,616600,2053453
2008,2008-03,AMEX (A),0,857098268,1932400,859030668,0,0,0,0,0,1377412,6736,1384148
2008,2008-03,CBOE (W),88644600,88291000,62848400,239784000,0,0,0,0,145052,80724,39458,265234
2008,2008-03,CHX (M),536415590,108238721,140242326,784896637,0,0,0,0,909308,49463,253793,1212564
2008,2008-03,ISE (I),1688858261,50736301,94243100,1833837662,0,0,0,0,10835421,65490,265354,11166265
2008,2008-03,NSX (C),1353669231,564876758,1062979396,2981525385,0,0,0,0,5940441,1607605,5402526,12950572
2008,2008-03,NSX (DC),1913431806,503447995,1979843453,4396723254,0,0,0,0,6986464,1298252,6977671,15262387
2008,2008-03,NYSE (DN),4985198225,2175560200,4270424507,11431182932,0,0,0,0,33540623,8465722,23032287,65038632
2008,2008-03,NYSE (N),34562152221,0,0,34562152221,0,0,0,0,107706045,0,0,107706045
2008,2008-03,NYSE Arca (P),12282767100,7586891800,7480712317,27350371217,0,0,0,0,73048000,19788655,33886683,126723338
2008,2008-03,Nasdaq (DQ),15661465994,3958187663,9378229691,28997883348,0,0,0,0,22165113,2861657,11965030,36991800
2008,2008-03,Nasdaq (Q),20211925549,9123385450,22740528552,52075839551,0,0,0,0,110892212,26030703,87783695,224706610
2008,2008-03,PHLX (X),91968400,18593500,34477268,145039168,0,0,0,0,49293,3966,35951,89210
2008,2008-04,ADF (D),408674233,34684319,191008167,634366719,0,0,0,0,1421149,94610,584981,2100740
2008,2008-04,AMEX (A),0,738428379,1630200,740058579,0,0,0,0,0,1059053,4270,1063323
2008,2008-04,CBOE (W),54434800,92459600,73531900,220426300,0,0,0,0,26741,61193,85310,173244
2008,2008-04,CHX (M),443284975,77806937,143607479,664699391,0,0,0,0,627214,27357,178607,833178
2008,2008-04,ISE (I),1213011200,48931200,109484800,1371427200,0,0,0,0,7539572,76159,254633,7870364
2008,2008-04,NSX (C),1074650635,409057695,916475819,2400184149,0,0,0,0,4408171,1142798,4180949,9731918
2008,2008-04,NSX (DC),2122284126,403440836,1945407695,4471132657,0,0,0,0,7144583,980035,5948815,14073433
2008,2008-04,NYSE (DN),5054093242,2040231485,4260278930,11354603657,0,0,0,0,32028031,7781957,23141504,62951492
2008,2008-04,NYSE (N),28843914391,0,0,28843914391,0,0,0,0,90533080,0,0,90533080
2008,2008-04,NYSE Arca (P),11927158759,5501556173,7624467765,25053182697,0,0,0,0,68764534,15658983,35119150,119542667
2008,2008-04,Nasdaq (DQ),16058042231,3306473351,9868377739,29232893321,0,0,0,0,25091678,2857621,13124480,41073779
2008,2008-04,Nasdaq (Q),18351427582,6665850036,18464343316,43481620934,0,0,0,0,100846189,19676240,77931347,198453776
2008,2008-04,PHLX (X),103084500,12591500,34163208,149839208,0,0,0,0,51357,2913,37480,91750
2008,2008-05,ADF (D),602734348,43195972,269004465,914934785,0,0,0,0,2491628,120295,862096,3474019
2008,2008-05,AMEX (A),0,681838145,2254400,684092545,0,0,0,0,0,1078731,4475,1083206
2008,2008-05,CBOE (W),47386400,56976300,85922300,190285000,0,0,0,0,12313,26416,205727,244456
2008,2008-05,CHX (M),489376993,65608650,155736787,710722430,0,0,0,0,687094,30151,194858,912103
2008,2008-05,ISE (I),990524250,31265700,118539900,1140329850,0,0,0,0,6009981,44648,362614,6417243
2008,2008-05,NSX (C),1026722197,432857497,1016209811,2475789505,0,0,0,0,4572177,1048916,4286075,9907168
2008,2008-05,NSX (DC),1908732221,420198399,1994198243,4323128863,0,0,0,0,6674283,935187,5814678,13424148
2008,2008-05,NYSE (DN),4885648866,2283467998,4005176976,11174293840,0,0,0,0,29957317,8241226,21195108,59393651
2008,2008-05,NYSE (N),25636080438,0,100,25636080538,0,0,0,0,84563347,0,1,84563348
2008,2008-05,NYSE Arca (P),11282290334,5101257673,7577383647,23960931654,0,0,0,0,66395659,14501792,35077100,115974551
2008,2008-05,Nasdaq (DQ),16036615891,3333471103,10230883839,29600970833,0,0,0,0,27027176,3065068,14451002,44543246
2008,2008-05,Nasdaq (Q),17616940354,6072052915,18002495728,41691488997,0,0,0,0,97244106,17579201,73903254,188726561
2008,2008-05,PHLX (X),93115100,17272300,26994916,137382316,0,0,0,0,57023,2734,31234,90991
2008,2008-06,ADF (D),702389054,58800389,276527652,1037717095,0,0,0,0,3029662,149158,975323,4154143
2008,2008-06,AMEX (A),0,851378723,4087300,855466023,0,0,0,0,0,1113971,7338,1121309
2008,2008-06,CBOE (W),56532800,74309100,117096700,247938600,0,0,0,0,19448,35295,222309,277052
2008,2008-06,CHX (M),490713694,91008727,133732680,715455101,0,0,0,0,725611,30585,220747,976943
2008,2008-06,ISE (I),1307172770,32466300,109419900,1449058970,0,0,0,0,7746529,65331,367658,8179518
2008,2008-06,NSX (C),1314897023,527061810,1124301276,2966260109,0,0,0,0,5870900,1288024,5365617,12524541
2008,2008-06,NSX (DC),2739537810,707161258,2252792798,5699491866,0,0,0,0,10432532,1704234,8172830,20309596
2008,2008-06,NYSE (DN),6237939680,3082012626,4441369369,13761321675,0,0,0,0,39405495,11382716,23816642,74604853
2008,2008-06,NYSE (N),29434571379,0,200,29434571579,0,0,0,0,94428550,0,2,94428552
2008,2008-06,NYSE Arca (P),13514325831,6792770472,7649626786,27956723089,0,0,0,0,80329366,18745826,35069704,134144896
2008,2008-06,Nasdaq (DQ),18273702109,4193911700,11071052979,33538666788,0,0,0,0,32473461,3565256,15427479,51466196
2008,2008-06,Nasdaq (Q),22214758843,8948162887,20286927349,51449849079,0,0,0,0,123863980,24559357,80727380,229150717
2008,2008-06,PHLX (X),117201400,16744000,29928444,163873844,0,0,0,0,86526,1856,46847,135229
2008,2008-07,ADF (D),937202472,77047681,361064206,1375314359,0,0,0,0,3821292,210794,1279761,5311847
2008,2008-07,AMEX (A),0,902864325,3104600,905968925,0,0,0,0,0,1334857,6716,1341573
2008,2008-07,CBOE (W),103743200,109415700,111632200,324791100,0,0,0,0,28931,70443,226493,325867
2008,2008-07,CHX (M),579999814,129088343,153953931,863042088,0,0,0,0,747545,58227,196677,1002449
2008,2008-07,ISE (I),1871521059,59564400,139729000,2070814459,0,0,0,0,10476753,114161,451567,11042481
2008,2008-07,NSX (C),1632403293,682160992,1277635926,3592200211,0,0,0,0,6801416,1725000,6296832,14823248
2008,2008-07,NSX (DC),4576547646,967662024,2740048313,8284257983,0,0,0,0,17394780,2638910,11042196,31075886
2008,2008-07,NYSE (DN),9059315724,4687367412,5486085437,19232768573,0,0,0,0,58939175,17842771,30407609,107189555
